,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
171,172,MANT,ManTech International Corporation,Technology,Software - Application,USA,3.50B,28.67,87.46,-0.35%,112878,172,0.06%,1.06%,2.47%,-2.49%,23.62%,-1.66%,2.29%,2.21%,2.60,145.94K,0.77,87.46,-0.35%,112878
172,173,FN,Fabrinet,Technology,Electronic Components,Cayman Islands,3.46B,26.48,94.52,0.99%,90920,173,2.49%,-1.41%,10.39%,19.74%,31.04%,21.82%,2.78%,2.40%,2.20,151.57K,0.60,94.52,0.99%,90920
173,174,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,3.42B,30.68,89.70,0.73%,98678,174,2.01%,-1.49%,-6.23%,27.43%,41.73%,15.01%,1.85%,2.34%,2.00,167.89K,0.59,89.70,0.73%,98678
174,175,ONTO,Onto Innovation Inc.,Technology,Semiconductors,USA,3.38B,58.11,70.08,2.79%,248362,175,4.29%,-4.05%,2.28%,29.66%,86.23%,47.38%,4.19%,3.85%,1.80,310.91K,0.80,70.08,2.79%,248362
175,176,KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,USA,3.34B,42.11,27.20,-0.84%,497215,176,1.34%,-4.53%,1.72%,2.49%,48.88%,-0.84%,2.03%,2.76%,2.50,1.04M,0.48,27.20,-0.84%,497215
176,177,GHC,Graham Holdings Company,Consumer Defensive,Education & Training Services,USA,3.34B,7.50,664.66,0.19%,18000,177,1.67%,4.85%,4.57%,16.99%,62.78%,24.61%,1.82%,1.97%,2.00,29.45K,0.61,664.66,0.19%,18000
177,178,MED,"Medifast, Inc.",Consumer Cyclical,Personal Services,USA,3.29B,27.00,285.51,1.41%,95676,178,1.49%,0.89%,25.73%,21.66%,71.98%,45.42%,3.18%,3.19%,1.70,114.52K,0.84,285.51,1.41%,95676
178,179,NUVA,"NuVasive, Inc.",Healthcare,Medical Devices,USA,3.27B,-,63.95,1.40%,1072962,179,-1.02%,-5.65%,-10.50%,19.00%,7.66%,13.53%,3.64%,3.18%,2.60,584.26K,1.84,63.95,1.40%,1072962
179,180,JW-A,"John Wiley & Sons, Inc.",Communication Services,Publishing,USA,3.27B,22.35,58.78,-0.81%,395463,180,5.19%,-2.33%,3.23%,28.88%,69.93%,28.73%,2.79%,2.56%,2.50,515.97K,0.77,58.78,-0.81%,395463
180,181,WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,USA,3.25B,41.08,242.99,-1.95%,80543,181,1.57%,-5.19%,-2.31%,-20.18%,27.51%,-8.54%,2.29%,2.93%,3.00,81.01K,0.99,242.99,-1.95%,80543
