,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
0,1,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,9.83B,19.47,132.11,3.91%,744537,1,5.32%,1.33%,-7.09%,22.25%,99.61%,31.51%,3.13%,2.75%,2.00,694.16K,1.07,132.11,3.91%,744537
1,2,SMG,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,USA,9.81B,18.59,176.96,-1.05%,445717,2,-3.06%,-7.79%,-23.45%,-20.08%,15.85%,-11.14%,1.88%,2.14%,2.00,414.61K,1.08,176.96,-1.05%,445717
2,3,DLB,"Dolby Laboratories, Inc.",Communication Services,Entertainment,USA,9.74B,32.92,97.10,1.40%,474556,3,-0.84%,-1.21%,-4.31%,10.30%,40.70%,-0.03%,2.32%,1.99%,1.80,386.43K,1.23,97.10,1.40%,474556
3,4,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,9.65B,39.18,66.77,-0.71%,918083,4,-11.56%,-17.22%,-17.06%,-10.62%,12.56%,-15.20%,4.40%,2.56%,1.70,943.45K,0.97,66.77,-0.71%,918083
4,5,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,9.59B,68.24,24.77,-1.71%,10152278,5,-1.75%,1.10%,-4.80%,11.83%,1.14%,7.98%,1.82%,1.82%,1.90,3.30M,3.07,24.77,-1.71%,10152278
5,6,UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,USA,9.44B,11.17,45.99,-0.82%,2209451,6,-0.35%,-0.69%,5.22%,27.79%,37.04%,31.55%,1.41%,1.80%,1.70,1.01M,2.20,45.99,-0.82%,2209451
6,7,PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,USA,9.27B,18.67,83.55,-2.17%,755557,7,-1.18%,1.93%,-1.30%,11.03%,1.03%,4.50%,1.84%,1.79%,2.70,862.72K,0.88,83.55,-2.17%,755557
7,8,ST,Sensata Technologies Holding plc,Technology,Scientific & Technical Instruments,USA,9.21B,44.41,58.62,0.88%,1089589,8,6.81%,1.12%,1.52%,7.56%,51.12%,11.15%,3.42%,2.50%,2.20,850.73K,1.28,58.62,0.88%,1089589
8,9,G,Genpact Limited,Technology,Information Technology Services,Bermuda,9.16B,30.94,49.81,0.00%,861477,9,0.40%,9.64%,4.80%,30.12%,25.12%,20.43%,1.26%,1.48%,2.00,1.56M,0.55,49.81,0.00%,861477
9,10,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,9.13B,45.76,28.14,2.66%,4342208,10,2.07%,2.89%,10.83%,15.23%,12.88%,25.01%,2.26%,1.88%,3.10,3.53M,1.23,28.14,2.66%,4342208
10,11,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,USA,9.10B,-,19.15,-1.19%,2923775,11,0.26%,3.23%,13.52%,-4.11%,1.86%,-2.59%,2.21%,2.72%,2.30,5.11M,0.57,19.15,-1.19%,2923775
11,12,HRC,"Hill-Rom Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,9.07B,32.87,138.46,1.17%,1242548,12,14.21%,21.89%,25.62%,44.17%,19.69%,41.33%,5.36%,2.54%,1.70,446.37K,2.78,138.46,1.17%,1242548
12,13,BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,USA,9.02B,3476.74,149.50,-2.11%,270849,13,-3.07%,1.62%,3.22%,-1.63%,36.53%,-13.58%,1.88%,1.98%,2.40,490.70K,0.55,149.50,-2.11%,270849
13,14,CIEN,Ciena Corporation,Technology,Communication Equipment,USA,8.87B,24.89,58.14,0.62%,748710,14,3.43%,2.20%,15.20%,8.90%,-1.64%,10.01%,1.78%,1.98%,1.80,1.35M,0.56,58.14,0.62%,748710
14,15,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,8.78B,22.74,93.21,0.31%,1031100,15,-5.39%,-4.22%,-1.35%,-15.07%,-23.42%,-2.75%,2.49%,2.47%,1.90,725.96K,1.42,93.21,0.31%,1031100
15,16,WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,USA,8.68B,47.10,122.09,0.38%,333429,16,0.63%,4.74%,9.34%,48.02%,145.85%,46.08%,2.34%,2.64%,2.20,556.95K,0.60,122.09,0.38%,333429
16,17,MBT,Mobile TeleSystems Public Joint Stock Company,Communication Services,Telecom Services,Russia,8.66B,9.16,8.59,-0.92%,1979456,17,0.94%,-7.24%,1.42%,-4.56%,-2.72%,-4.02%,1.03%,1.33%,1.90,2.46M,0.80,8.59,-0.92%,1979456
17,18,BERY,"Berry Global Group, Inc.",Consumer Cyclical,Packaging & Containers,USA,8.63B,12.55,64.29,0.11%,568468,18,0.83%,-1.43%,1.05%,30.22%,35.35%,14.42%,1.48%,1.60%,1.90,903.19K,0.63,64.29,0.11%,568468
18,19,SEIC,SEI Investments Company,Financial,Asset Management,USA,8.63B,17.72,60.80,-0.64%,654286,19,0.00%,-1.89%,-1.04%,15.04%,16.30%,5.79%,1.46%,1.82%,2.30,516.62K,1.27,60.80,-0.64%,654286
19,20,SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,USA,8.56B,18.63,56.75,1.10%,1282029,20,3.29%,-4.22%,14.88%,34.26%,58.30%,23.94%,1.49%,1.72%,2.10,1.29M,0.99,56.75,1.10%,1282029
20,21,AU,AngloGold Ashanti Limited,Basic Materials,Gold,South Africa,8.50B,8.29,20.05,-1.28%,1897939,21,4.37%,7.91%,-2.58%,-14.54%,-38.14%,-11.36%,2.01%,2.62%,2.80,3.32M,0.57,20.05,-1.28%,1897939
21,22,JBL,Jabil Inc.,Technology,Electronic Components,USA,8.48B,15.56,59.54,1.02%,775937,22,4.57%,2.44%,13.58%,43.92%,74.25%,40.00%,2.30%,2.20%,1.70,850.85K,0.91,59.54,1.02%,775937
22,23,ERIE,Erie Indemnity Company,Financial,Insurance Brokers,USA,8.48B,35.12,184.89,-0.26%,72117,23,0.66%,-4.38%,-13.61%,-23.94%,-10.92%,-24.72%,1.91%,2.03%,2.00,66.38K,1.09,184.89,-0.26%,72117
23,24,NLSN,Nielsen Holdings plc,Industrials,Consulting Services,USA,8.46B,72.23,23.69,0.21%,2021329,24,-1.86%,-3.97%,-7.64%,6.09%,63.94%,13.51%,2.51%,2.12%,2.30,2.69M,0.75,23.69,0.21%,2021329
24,25,ATR,"AptarGroup, Inc.",Consumer Cyclical,Packaging & Containers,USA,8.37B,35.65,128.92,-7.29%,842429,25,-5.37%,-8.46%,-14.51%,-3.05%,9.34%,-5.82%,2.79%,1.69%,2.30,205.48K,4.10,128.92,-7.29%,842429
25,26,AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA,8.30B,42.96,260.62,2.02%,193458,26,-1.28%,6.41%,-3.42%,-9.29%,11.19%,-11.15%,2.40%,2.54%,1.80,218.24K,0.89,260.62,2.02%,193458
26,27,DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,USA,8.30B,31.79,66.19,0.46%,507943,27,1.71%,4.19%,5.26%,11.36%,36.93%,18.45%,1.68%,1.83%,2.50,429.35K,1.18,66.19,0.46%,507943
27,28,LECO,"Lincoln Electric Holdings, Inc.",Industrials,Tools & Accessories,USA,8.22B,37.35,139.43,0.66%,529480,28,2.59%,5.86%,8.89%,21.77%,53.29%,19.94%,2.11%,1.88%,2.30,231.95K,2.28,139.43,0.66%,529480
28,29,EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,USA,8.22B,27.38,83.25,0.46%,426642,29,4.62%,6.69%,-1.90%,3.54%,21.21%,0.68%,3.24%,2.02%,1.70,559.75K,0.76,83.25,0.46%,426642
29,30,UTHR,United Therapeutics Corporation,Healthcare,Biotechnology,USA,8.20B,20.11,181.93,-1.24%,206178,30,-1.43%,1.40%,-9.74%,11.05%,60.29%,19.86%,2.22%,2.35%,2.10,308.43K,0.67,181.93,-1.24%,206178
30,31,HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,USA,8.19B,12.38,205.13,-1.01%,218180,31,0.68%,-2.67%,-3.39%,30.38%,17.36%,20.32%,1.73%,1.88%,2.70,229.58K,0.95,205.13,-1.01%,218180
31,32,KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,USA,8.19B,15.32,49.69,0.16%,1516781,32,2.73%,9.30%,5.45%,24.22%,14.81%,18.82%,1.71%,2.41%,2.30,1.52M,1.00,49.69,0.16%,1516781
32,33,GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,USA,8.17B,69.83,83.17,-0.25%,502620,33,0.16%,7.27%,15.88%,34.82%,66.57%,27.52%,1.23%,1.84%,2.20,448.39K,1.12,83.17,-0.25%,502620
33,34,EDU,New Oriental Education & Technology Group Inc.,Consumer Defensive,Education & Training Services,China,8.13B,9.04,2.17,-1.81%,61487747,34,-25.94%,-73.50%,-85.78%,-87.04%,-84.30%,-88.32%,16.55%,9.86%,1.80,68.16M,0.90,2.17,-1.81%,61487747
34,35,GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,USA,8.09B,22.54,34.03,-0.21%,1173685,35,5.13%,2.84%,-3.27%,2.97%,26.08%,0.29%,2.31%,2.13%,2.30,1.31M,0.89,34.03,-0.21%,1173685
35,36,RGLD,"Royal Gold, Inc.",Basic Materials,Gold,USA,7.94B,40.44,121.52,0.02%,219813,36,4.35%,6.50%,8.64%,13.70%,-11.00%,14.25%,1.51%,2.06%,2.50,410.09K,0.54,121.52,0.02%,219813
36,37,SKX,"Skechers U.S.A., Inc.",Consumer Cyclical,Footwear & Accessories,USA,7.86B,24.48,53.68,-0.06%,1331479,37,-1.00%,7.73%,10.70%,55.68%,81.78%,49.36%,2.84%,3.35%,2.10,1.31M,1.02,53.68,-0.06%,1331479
37,38,LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,USA,7.64B,138.41,56.75,2.86%,855449,38,5.03%,1.01%,12.80%,41.49%,82.89%,23.85%,3.80%,3.54%,1.90,1.09M,0.78,56.75,2.86%,855449
38,39,SITE,"SiteOne Landscape Supply, Inc.",Industrials,Industrial Distribution,USA,7.61B,52.49,174.78,-0.47%,175383,39,-1.78%,3.26%,-2.56%,10.84%,42.18%,10.18%,2.24%,2.58%,2.40,444.56K,0.39,174.78,-0.47%,175383
39,40,TV,"Grupo Televisa, S.A.B.",Communication Services,Broadcasting,Mexico,7.54B,18.19,13.55,-0.81%,1164121,40,-2.10%,-5.11%,9.45%,80.43%,135.24%,64.44%,3.12%,3.24%,2.70,1.46M,0.80,13.55,-0.81%,1164121
40,41,CHE,Chemed Corporation,Healthcare,Medical Care Facilities,USA,7.51B,23.65,476.02,1.11%,138790,41,-0.78%,0.32%,-0.12%,-8.09%,-4.15%,-10.63%,3.82%,2.32%,1.70,91.63K,1.51,476.02,1.11%,138790
41,42,MTZ,"MasTec, Inc.",Industrials,Engineering & Construction,USA,7.45B,21.07,101.23,-0.92%,526902,42,0.81%,-4.59%,-3.00%,31.21%,167.66%,48.47%,2.62%,2.90%,1.70,961.88K,0.55,101.23,-0.92%,526902
42,43,CASY,"Casey's General Stores, Inc.",Consumer Defensive,Grocery Stores,USA,7.24B,23.58,197.71,-0.04%,351503,43,1.31%,1.58%,-11.02%,5.46%,22.98%,10.69%,1.35%,1.40%,2.50,214.06K,1.64,197.71,-0.04%,351503
43,44,JHG,Janus Henderson Group plc,Financial,Asset Management,United Kingdom,7.17B,13.48,41.84,-0.52%,903297,44,4.65%,7.81%,21.66%,36.02%,99.62%,28.70%,3.64%,2.94%,3.10,1.19M,0.76,41.84,-0.52%,903297
44,45,NYT,The New York Times Company,Communication Services,Publishing,USA,7.15B,67.88,43.78,-0.18%,1444783,45,1.30%,0.53%,-3.59%,-11.72%,-4.91%,-15.43%,1.89%,1.93%,2.30,1.68M,0.86,43.78,-0.18%,1444783
45,46,TTEK,"Tetra Tech, Inc.",Industrials,Engineering & Construction,USA,7.04B,38.80,133.52,2.72%,241309,46,2.82%,9.41%,4.61%,9.83%,48.64%,15.32%,3.20%,2.44%,2.20,275.19K,0.88,133.52,2.72%,241309
46,47,AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,USA,6.88B,84.31,30.10,-0.10%,1939441,47,3.86%,-1.28%,-5.61%,11.52%,35.46%,5.43%,2.38%,2.27%,2.10,3.43M,0.57,30.10,-0.10%,1939441
47,48,RXN,Rexnord Corporation,Industrials,Specialty Industrial Machinery,USA,6.82B,33.81,56.33,-0.35%,809866,48,6.73%,12.57%,12.82%,48.78%,90.37%,42.64%,2.50%,2.57%,2.00,718.20K,1.13,56.33,-0.35%,809866
48,49,LHCG,"LHC Group, Inc.",Healthcare,Medical Care Facilities,USA,6.64B,55.36,215.18,1.34%,182306,49,0.54%,7.45%,3.32%,8.01%,9.09%,0.87%,2.65%,2.43%,1.50,158.52K,1.15,215.18,1.34%,182306
49,50,TMX,"Terminix Global Holdings, Inc.",Consumer Cyclical,Personal Services,USA,6.63B,153.96,52.50,-0.59%,423515,50,-0.94%,10.04%,3.16%,10.11%,28.61%,2.92%,1.54%,1.83%,1.90,572.20K,0.74,52.50,-0.59%,423515
50,51,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Specialty Business Services,Canada,6.61B,35.98,59.73,0.22%,202927,51,-1.34%,0.76%,-6.08%,1.39%,29.01%,-14.12%,1.84%,1.81%,2.70,428.19K,0.47,59.73,0.22%,202927
51,52,SLAB,Silicon Laboratories Inc.,Technology,Semiconductors,USA,6.60B,282.18,148.99,3.14%,313727,52,2.29%,-2.78%,5.70%,13.59%,45.02%,17.00%,4.31%,3.08%,2.50,299.26K,1.05,148.99,3.14%,313727
52,53,COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,USA,6.53B,40.69,99.62,-0.69%,245273,53,0.37%,1.28%,-8.61%,13.90%,23.74%,14.01%,2.08%,2.31%,2.20,371.25K,0.66,99.62,-0.69%,245273
53,54,EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,USA,6.49B,47.42,121.81,-0.93%,299409,54,0.30%,-1.12%,1.68%,37.95%,76.03%,33.18%,2.83%,2.50%,2.20,264.87K,1.13,121.81,-0.93%,299409
54,55,POST,"Post Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,6.45B,24.30,102.34,0.21%,289531,55,-1.75%,-5.65%,-10.05%,7.90%,15.82%,1.32%,1.29%,1.57%,1.90,323.67K,0.89,102.34,0.21%,289531
55,56,LFUS,"Littelfuse, Inc.",Technology,Electronic Components,USA,6.45B,40.41,265.99,-0.46%,100863,56,6.30%,4.40%,0.28%,9.29%,49.67%,4.45%,2.76%,2.36%,2.20,78.22K,1.29,265.99,-0.46%,100863
56,57,SON,Sonoco Products Company,Consumer Cyclical,Packaging & Containers,USA,6.44B,-,63.79,-0.11%,514675,57,2.44%,-4.65%,-2.55%,10.15%,21.50%,7.66%,1.50%,1.84%,3.00,394.48K,1.30,63.79,-0.11%,514675
57,58,PLNT,"Planet Fitness, Inc.",Consumer Cyclical,Leisure,USA,6.38B,-,75.23,-0.93%,934950,58,-0.23%,-0.03%,-10.43%,4.49%,41.70%,-3.09%,2.66%,2.83%,2.30,979.20K,0.95,75.23,-0.93%,934950
58,59,MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,USA,6.37B,57.33,164.48,-0.12%,144160,59,1.05%,-0.66%,2.31%,5.35%,36.85%,10.10%,1.77%,1.75%,2.40,93.70K,1.54,164.48,-0.12%,144160
59,60,OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,USA,6.36B,188.55,146.50,3.29%,307872,60,-3.20%,-3.27%,1.02%,24.36%,105.38%,22.06%,5.02%,3.06%,2.00,235.46K,1.31,146.50,3.29%,307872
60,61,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA,6.35B,23.53,16.00,0.63%,8170589,61,1.39%,-8.36%,-4.02%,-12.71%,-11.80%,-1.72%,2.89%,3.34%,2.60,9.46M,0.86,16.00,0.63%,8170589
61,62,PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,6.34B,-,48.03,0.29%,792705,62,3.65%,4.75%,15.37%,12.48%,-12.32%,7.40%,1.65%,1.77%,2.80,1.14M,0.70,48.03,0.29%,792705
62,63,MDU,"MDU Resources Group, Inc.",Basic Materials,Building Materials,USA,6.30B,15.26,31.72,-0.78%,2049399,63,0.86%,1.21%,-5.20%,20.65%,48.71%,20.43%,1.86%,1.82%,2.20,925.12K,2.22,31.72,-0.78%,2049399
63,64,JCOM,"J2 Global, Inc.",Technology,Software - Infrastructure,USA,6.27B,27.95,141.27,-1.59%,413602,64,-2.05%,2.70%,16.75%,37.64%,151.37%,44.61%,2.13%,2.13%,1.80,480.68K,0.86,141.27,-1.59%,413602
64,65,MEDP,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,USA,6.26B,41.63,175.94,0.13%,128634,65,-3.39%,-0.39%,3.69%,32.49%,47.23%,26.39%,4.01%,2.86%,2.30,168.59K,0.76,175.94,0.13%,128634
65,66,HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,USA,6.17B,1297.89,73.98,-0.79%,265878,66,-0.59%,-8.08%,-2.62%,-11.45%,38.85%,6.13%,2.39%,2.62%,2.20,442.80K,0.60,73.98,-0.79%,265878
66,67,DSGX,The Descartes Systems Group Inc,Technology,Software - Application,Canada,6.12B,105.00,72.66,0.61%,52844,67,1.75%,5.06%,13.42%,19.00%,30.75%,24.25%,1.57%,1.87%,1.90,82.07K,0.64,72.66,0.61%,52844
67,68,STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA,6.07B,571.07,127.92,0.06%,188443,68,-3.00%,-16.12%,-6.63%,24.70%,116.59%,61.47%,4.62%,4.81%,1.90,452.96K,0.42,127.92,0.06%,188443
68,69,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Consumer Defensive,Discount Stores,USA,6.04B,23.26,93.10,0.49%,631877,69,0.68%,10.66%,0.90%,-1.72%,-12.83%,13.86%,2.39%,2.94%,2.60,997.65K,0.63,93.10,0.49%,631877
69,70,IART,Integra LifeSciences Holdings Corporation,Healthcare,Medical Devices,USA,6.00B,36.18,72.39,1.83%,498178,70,5.68%,6.08%,-2.28%,9.62%,48.22%,11.51%,4.61%,2.89%,2.40,363.06K,1.37,72.39,1.83%,498178
70,71,STMP,Stamps.com Inc.,Technology,Software - Application,USA,5.99B,32.26,326.76,0.07%,368420,71,0.28%,63.14%,59.11%,43.12%,26.75%,66.55%,0.47%,1.37%,2.00,381.82K,0.96,326.76,0.07%,368420
71,72,RBC,Regal Beloit Corporation,Industrials,Specialty Industrial Machinery,USA,5.92B,28.81,147.23,0.44%,377616,72,10.81%,10.28%,1.94%,17.33%,58.31%,19.88%,2.36%,2.13%,1.50,267.73K,1.41,147.23,0.44%,377616
72,73,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,5.92B,23.91,28.07,-0.74%,1112178,73,4.54%,-1.75%,-11.79%,-13.52%,-20.97%,-18.66%,2.65%,3.06%,2.00,2.47M,0.45,28.07,-0.74%,1112178
73,74,EXP,Eagle Materials Inc.,Basic Materials,Building Materials,USA,5.90B,17.68,141.32,-1.13%,298445,74,3.58%,-0.56%,2.30%,28.44%,72.87%,39.44%,3.44%,2.63%,1.90,452.19K,0.66,141.32,-1.13%,298445
74,75,FL,"Foot Locker, Inc.",Consumer Cyclical,Footwear & Accessories,USA,5.89B,9.45,57.06,0.46%,973013,75,-2.24%,-7.42%,-3.26%,30.21%,86.41%,41.10%,3.27%,3.41%,2.10,1.44M,0.68,57.06,0.46%,973013
75,76,RCM,R1 RCM Inc.,Healthcare,Health Information Services,USA,5.86B,-,21.41,1.04%,611771,76,2.83%,-3.73%,-21.52%,-15.14%,54.25%,-10.87%,2.22%,2.69%,1.60,2.04M,0.30,21.41,1.04%,611771
76,77,ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,Israel,5.85B,23.79,132.63,-1.27%,29088,77,5.21%,2.22%,-3.23%,-2.10%,-5.39%,1.40%,2.84%,1.56%,2.50,42.00K,0.69,132.63,-1.27%,29088
77,78,HUN,Huntsman Corporation,Basic Materials,Chemicals,USA,5.85B,14.38,26.41,0.27%,3103689,78,2.60%,-0.41%,-7.88%,-0.04%,41.46%,5.05%,2.81%,2.68%,2.00,2.26M,1.37,26.41,0.27%,3103689
78,79,INGR,Ingredion Incorporated,Consumer Defensive,Packaged Foods,USA,5.84B,229.27,87.81,-1.28%,872781,79,0.61%,-2.97%,-6.00%,16.35%,-0.46%,11.62%,1.67%,1.90%,3.00,379.23K,2.30,87.81,-1.28%,872781
79,80,CDK,"CDK Global, Inc.",Technology,Software - Application,USA,5.84B,28.28,47.99,-0.48%,508362,80,-0.56%,-3.42%,-10.45%,-3.83%,6.76%,-7.41%,1.44%,1.64%,1.80,584.43K,0.87,47.99,-0.48%,508362
80,81,HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,USA,5.83B,36.54,41.33,0.63%,679874,81,-3.64%,-8.98%,-17.26%,-13.15%,50.29%,-3.23%,3.02%,2.95%,2.20,898.99K,0.76,41.33,0.63%,679874
81,82,ROLL,RBC Bearings Incorporated,Industrials,Tools & Accessories,USA,5.81B,65.68,235.00,0.19%,99195,82,13.80%,17.84%,17.84%,40.44%,88.32%,31.26%,4.38%,2.92%,2.20,101.10K,0.98,235.00,0.19%,99195
82,83,INOV,"Inovalon Holdings, Inc.",Healthcare,Health Information Services,USA,5.80B,175.37,37.88,-0.03%,424004,83,13.75%,11.15%,25.39%,55.25%,56.53%,108.48%,4.56%,2.93%,2.00,432.57K,0.98,37.88,-0.03%,424004
83,84,SAIA,"Saia, Inc.",Industrials,Trucking,USA,5.77B,40.80,226.00,1.95%,321527,84,9.18%,7.88%,-3.62%,27.86%,87.30%,25.00%,3.89%,3.35%,2.50,201.29K,1.60,226.00,1.95%,321527
84,85,NATI,National Instruments Corporation,Technology,Software - Application,USA,5.69B,377.01,44.11,4.72%,988510,85,3.81%,4.33%,6.52%,6.55%,16.57%,0.39%,3.10%,2.29%,2.80,542.27K,1.82,44.11,4.72%,988510
85,86,CWEN-A,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,USA,5.64B,54.67,26.95,-1.43%,126372,86,1.77%,6.86%,1.39%,-6.52%,18.72%,-8.80%,2.08%,2.24%,2.20,268.51K,0.47,26.95,-1.43%,126372
86,87,ARD,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg,5.64B,-,23.35,0.26%,85237,87,1.61%,-4.77%,-13.07%,37.35%,72.58%,35.68%,1.81%,2.57%,2.30,91.29K,0.93,23.35,0.26%,85237
87,88,IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,USA,5.61B,-,42.23,1.15%,803486,88,3.28%,5.60%,11.16%,-14.29%,52.51%,7.39%,3.49%,3.63%,2.60,823.30K,0.98,42.23,1.15%,803486
88,89,JOBS,"51job, Inc.",Industrials,Staffing & Employment Services,China,5.47B,33.40,72.02,0.04%,1206939,89,-7.44%,-7.39%,17.01%,9.35%,5.63%,2.89%,2.65%,1.43%,3.00,573.12K,2.11,72.02,0.04%,1206939
89,90,VVV,Valvoline Inc.,Energy,Oil & Gas Refining & Marketing,USA,5.47B,16.94,30.68,-0.49%,708641,90,1.09%,-5.48%,-2.29%,29.23%,47.50%,32.58%,1.64%,1.93%,1.90,1.00M,0.71,30.68,-0.49%,708641
90,91,GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,USA,5.45B,22.63,19.17,0.05%,2879348,91,10.81%,5.68%,3.34%,22.41%,36.15%,13.16%,3.61%,2.27%,2.10,3.93M,0.73,19.17,0.05%,2879348
91,92,BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense,USA,5.44B,20.12,57.43,-0.66%,212426,92,-0.47%,-1.19%,-14.18%,6.51%,6.61%,-4.73%,1.36%,1.81%,2.30,295.01K,0.72,57.43,-0.66%,212426
92,93,EXPO,"Exponent, Inc.",Industrials,Consulting Services,USA,5.44B,65.38,107.09,6.93%,320950,93,12.56%,20.04%,11.17%,29.68%,28.33%,18.95%,3.76%,2.43%,2.30,183.83K,1.75,107.09,6.93%,320950
93,94,KBR,"KBR, Inc.",Industrials,Engineering & Construction,USA,5.43B,70.11,38.70,-0.08%,1016189,94,-1.28%,1.44%,-2.17%,33.22%,72.85%,25.12%,2.04%,2.15%,2.00,1.29M,0.79,38.70,-0.08%,1016189
94,95,TDC,Teradata Corporation,Technology,Information Technology Services,USA,5.42B,459.81,49.66,-0.54%,471540,95,0.83%,-0.62%,0.38%,84.61%,141.07%,121.01%,2.28%,3.53%,2.60,1.05M,0.45,49.66,-0.54%,471540
95,96,TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,USA,5.39B,19.83,82.98,1.32%,423059,96,13.19%,14.49%,5.42%,11.97%,22.43%,2.95%,3.33%,2.35%,2.00,223.37K,1.89,82.98,1.32%,423059
96,97,MMS,"Maximus, Inc.",Industrials,Specialty Business Services,USA,5.38B,20.30,89.00,0.20%,213923,97,0.44%,1.17%,-2.88%,18.57%,20.51%,21.60%,1.45%,1.63%,2.40,285.49K,0.75,89.00,0.20%,213923
97,98,EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,USA,5.35B,84.25,16.85,-0.06%,1188272,98,0.72%,-7.52%,-31.56%,-24.13%,-29.14%,-16.04%,3.22%,3.27%,1.90,2.24M,0.53,16.85,-0.06%,1188272
98,99,NEO,"NeoGenomics, Inc.",Healthcare,Diagnostics & Research,USA,5.33B,-,46.10,0.88%,543645,99,0.85%,2.06%,-5.90%,-13.05%,20.24%,-14.38%,3.56%,3.41%,1.60,682.42K,0.80,46.10,0.88%,543645
99,100,LANC,Lancaster Colony Corporation,Consumer Defensive,Packaged Foods,USA,5.33B,38.69,197.87,1.58%,280730,100,-0.11%,2.25%,7.12%,13.34%,24.96%,7.70%,1.44%,1.37%,2.70,90.15K,3.11,197.87,1.58%,280730
100,101,SYNA,Synaptics Incorporated,Technology,Semiconductors,USA,5.31B,36.60,151.92,1.80%,361654,101,1.23%,-2.35%,8.62%,53.11%,91.94%,57.59%,3.62%,3.47%,2.00,442.02K,0.82,151.92,1.80%,361654
101,102,HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,USA,5.27B,22.38,223.39,-1.63%,136432,102,-0.73%,-2.07%,5.77%,-8.54%,17.85%,0.54%,2.04%,2.77%,2.60,201.71K,0.68,223.39,-1.63%,136432
102,103,PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,USA,5.26B,42.27,22.15,-1.03%,635637,103,2.88%,-0.14%,-7.55%,14.29%,44.96%,12.95%,3.62%,2.53%,2.00,522.88K,1.22,22.15,-1.03%,635637
103,104,SEM,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities,USA,5.26B,16.79,39.45,0.74%,550220,104,0.54%,-6.65%,4.59%,53.50%,134.96%,42.62%,2.54%,2.69%,2.00,764.45K,0.72,39.45,0.74%,550220
104,105,IDA,"IDACORP, Inc.",Utilities,Utilities - Regulated Electric,USA,5.23B,21.79,105.45,-0.05%,195809,105,0.67%,8.15%,2.90%,19.42%,13.03%,9.81%,1.47%,1.79%,2.20,249.23K,0.79,105.45,-0.05%,195809
105,106,STN,Stantec Inc.,Industrials,Engineering & Construction,Canada,5.17B,36.26,46.49,0.06%,28241,106,1.24%,4.19%,-0.73%,30.96%,43.67%,43.18%,1.06%,1.36%,2.80,50.28K,0.56,46.49,0.06%,28241
