,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
124,125,USNA,"USANA Health Sciences, Inc.",Consumer Defensive,Household & Personal Products,USA,1.98B,14.36,95.27,-2.83%,88282,125,-5.84%,-6.99%,5.87%,15.12%,17.10%,23.57%,2.70%,1.93%,2.50,70.36K,1.25,95.27,-2.83%,88282
125,126,USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,USA,1.52B,47.53,118.16,-0.06%,32984,126,8.66%,1.98%,5.08%,-1.81%,41.93%,-1.74%,7.94%,4.54%,2.20,58.03K,0.57,118.16,-0.06%,32984
126,127,UTL,Unitil Corporation,Utilities,Utilities - Diversified,USA,798.56M,22.26,52.92,-0.30%,44992,127,1.01%,-0.09%,-8.17%,29.80%,19.67%,19.54%,1.91%,2.04%,2.70,134.98K,0.33,52.92,-0.30%,44992
127,128,VIVO,"Meridian Bioscience, Inc.",Healthcare,Diagnostics & Research,USA,896.06M,10.29,20.50,-0.87%,242690,128,5.72%,-7.57%,4.70%,-7.24%,-17.84%,9.68%,4.54%,5.31%,1.50,555.63K,0.44,20.50,-0.87%,242690
128,129,VNDA,Vanda Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,992.95M,28.22,16.31,-8.73%,2492021,129,-16.96%,-24.17%,-1.75%,13.74%,58.20%,24.12%,7.29%,4.07%,1.00,438.87K,5.68,16.31,-8.73%,2492021
129,130,VPG,"Vishay Precision Group, Inc.",Technology,Scientific & Technical Instruments,USA,492.63M,39.84,36.33,0.33%,27722,130,3.06%,6.73%,13.96%,13.57%,43.60%,15.41%,2.33%,2.23%,1.50,55.84K,0.50,36.33,0.33%,27722
130,131,WIRE,Encore Wire Corporation,Industrials,Electrical Equipment & Parts,USA,1.65B,6.04,78.43,-1.96%,194500,131,12.53%,3.48%,5.02%,35.81%,58.35%,29.49%,4.61%,3.30%,2.50,117.37K,1.66,78.43,-1.96%,194500
131,132,WLKP,Westlake Chemical Partners LP,Basic Materials,Chemicals,USA,943.75M,14.80,26.72,-0.34%,42713,132,-1.11%,-0.74%,-0.56%,12.17%,35.36%,12.08%,1.17%,1.08%,2.30,61.19K,0.70,26.72,-0.34%,42713
132,133,XOMA,XOMA Corporation,Healthcare,Biotechnology,USA,362.88M,217.45,32.40,0.59%,13938,133,-2.99%,-4.71%,-14.87%,-10.55%,87.39%,-26.58%,8.31%,6.76%,2.00,28.88K,0.48,32.40,0.59%,13938
133,134,YORW,The York Water Company,Utilities,Utilities - Regulated Water,USA,632.21M,38.61,48.26,-0.21%,19033,134,1.20%,6.53%,-6.55%,11.10%,2.22%,3.56%,1.67%,2.06%,2.00,39.82K,0.48,48.26,-0.21%,19033
134,135,ZEPP,Zepp Health Corporation,Technology,Scientific & Technical Instruments,China,693.69M,28.06,11.14,1.09%,115936,135,6.81%,-5.11%,8.47%,-18.75%,-18.33%,-5.99%,7.07%,6.23%,1.70,245.18K,0.47,11.14,1.09%,115936
